,title,description,datetime,category,agency
36,قیمت روز ارز، طلا و سکه در بازار امروز ۲۷ مهر ۱۴۰۱ + جدول,"
در بازار آزاد، قیمت طلای ۱۸ عیار هر گرم یک میلیون و ۳۴۳ هزار تومان و قیمت سکه تمام‌بهار آزادی طرح قدیم ۱۴ میلیون تومان معامله گردید.
",2022-10-19 12:46:33,اخبار طلا و سکه,نبض بازار
37,قیمت سکه امامی امروز 27 مهر 1401/ قیمت سکه گران شد,"
اقتصادنیوز:قیمت سکه در بازار امروز افزایش را تجربه کرد.
",2022-10-19 12:16:43,اخبار طلا و سکه,اقتصاد نیوز
38,زغال‌سنگ جایگزین ارزان گاز طبیعی,"
به دنبال افزایش قیمت گاز طبیعی و نیاز به سوخت جایگزین، کشورهای سراسر جهان اقداماتی برای تولید زغال‌سنگ حرارتی انجام دادند که در این گزارش ذکر شده‌اند.
",2022-10-19 12:09:53,اخبار طلا و سکه,اخبار ویژه
39,قیمت گرم طلا 18 عیار امروز 27 مهر 1401/رشد قیمت طلا 18 عیار,"
اقتصادنیوز: قیمت طلا 18 عیار امروز مسیر رشد را تجربه کرد.
",2022-10-19 12:07:11,اخبار طلا و سکه,اقتصاد نیوز
40,قیمت روز انواع طلا و سکه در بازار +جدول,"
قیمت طلا و سکه انواع سکه بهار آزادی و پارسیان و طلای گرمی و ۱۸ عیار امروز چهارشنبه ۲۷ مهر ۱۴۰۱ در بازار را در ادامه بخوانید.
",2022-10-19 12:07:08,اخبار طلا و سکه,مشرق
41,آنر X6s با دوربین اصلی ۵۰ مگاپیکسلی معرفی شد,"
",2022-10-19 11:11:55,اخبار طلا و سکه,دیجی کالا مگ
42,نوسان قیمت سکه بین دو کانال/ پیش بینی نرخ سکه و طلا,"
برخی از تحلیلگران با اشاره به افزایش قیمت دلار در بازار شبانه روند بازار سکه امروز را صعودی پیش بینی کردند.
",2022-10-19 10:46:57,اخبار طلا و سکه,نبض بازار
43,پیش‌بینی مهم قیمت طلا در سال آینده میلادی,"
صنعت جهانی طلا انتظار دارد قیمت این فلز گرانبها طی یک سال آینده ۱۰ درصد بالا رفته و به ۱۸۳۰ دلار و ۵۰ سنت در هر اونس برسد.
",2022-10-19 10:41:41,اخبار طلا و سکه,سایت طلا
44,سالی پرفراز ونشیب برای طلا,"
طلا سال پرفرازونشیبی را سپری کرده و حدود 20 درصد نسبت‌به اوج ماه مارس کاهش قیمت داشته‌است.
",2022-10-19 10:31:43,اخبار طلا و سکه,سایت طلا
45,پیام اونس طلا به بازار سکه در ایران/ پیش بینی قیمت سکه امروز,"
اونس طلا هفته گذشته مرز مهم هزار و ۷۰۰ دلاری را از دست داد و این موضوع با ریزش تا زیر سطح هزار و ۶۵۰ دلار ادامه پیدا کرد. به دنبال این اتفاق، ارزش سکه در بازار داخلی در مقطعی افت کرد و حباب سکه بیشتر شد. افزایش ارزش اونس طلا می تواند تا حدی ارزش ذاتی سکه را بهبود ببخشد. البته
",2022-10-19 10:26:03,اخبار طلا و سکه,اقتصاد نیوز
46,حباب سکه امامی رکورد زد,"
حباب سکه بهار آزادی طرح جدید از دو میلیون تومان فراتر رفت.
",2022-10-19 10:02:36,اخبار طلا و سکه,سایت طلا
47,ثبات در نرخ دلار منجر به کاهش قیمت طلا می‌شود؟,"
با ثابت ماندن نرخ دلار قیمت طلا امروز رو به کاهش گذاشته این در حالی که تعهد فدرال رزرو ایالات‌متحده به تشدید سیاست‌های پولی نیز بر جذابیت شمش با بازده صفر تأثیر گذاشت.
",2022-10-19 10:02:34,اخبار طلا و سکه,نبض بازار
48,شمش طلا، پیشتاز سود محکم,"
در بحبوحه‌ی نگرانی‌ پیرامون تشدید سیاست فدرال رزرو و بانک مرکزی اروپا و حرکت مثبت اندک دلار آمریکا، طلا امروز در جو متمایز بازار، روند نزولی را در پیش گرفت
",2022-10-19 09:45:18,اخبار طلا و سکه,اخبار ویژه
49,قیمت جهانی طلا امروز ۲۷ مهر/ اونس طلا افت کرد,"
قیمت هر اونس طلا امروز با ۰.۳۷ درصد کاهش به ۱۶۴۶ دلار و ۱۱ سنت رسید.
",2022-10-19 09:31:51,اخبار طلا و سکه,اقتصاد نیوز
50,پیش بینی زیان در بازار سکه /الاکلنگ قیمت سکه بین دو کانال,"
اقتصادنیوز: برخی از فعالان بازار سکه معتقد بودند رشد قیمت طلا ممکن است انتظارات کاهشی برای سکه را تعدیل کند. با این حال نقش اول بازار سکه در شرایط فعلی همچنان نرخ دلار است.
",2022-10-19 09:26:14,اخبار طلا و سکه,اقتصاد نیوز
51,وضعیت حباب انواع سکه در معاملات امروز ۲۷ مهر چگونه است؟ / جدول,"
در جدول زیر وضعیت حباب انواع سکه (امامی، بهار آزادی، نیم‌سکه، ربع‌سکه و سکه گرمی) در معاملات امروز بازار سکه گردآوری شده است.
",2022-10-19 09:16:53,اخبار طلا و سکه,نبض بازار
52,تثبیت دلار قیمت طلا را کاهش داد,"
قیمت طلا امروز(چهارشنبه، ۱۹ اکتبر) با ثابت‌ماندن دلار کاهش یافت، در حالی که تعهد فدرال رزرو ایالات‌متحده به تشدید سیاست‌های پولی نیز بر جذابیت شمش با بازده صفر تأثیر گذاشت.
",2022-10-19 08:46:13,اخبار طلا و سکه,اقتصاد آنلاین
53,2 سناریوی پیش روی بازار دلار /رمزگشایی از یک تهدید ارزی,"
رشد کم اونس و کاهش کم دلار در روز قبل یکدیگر را خنثی کردند و ارزش ذاتی سکه امامی در کانال ۱۲ میلیون و ۷۰۰ هزار تومانی باقی ماند. ماندگاری ارزش ذاتی سکه امامی در محدوده فوق مانع از کاهش قیمت سکه امامی نشد و پس از آنکه دو روز متوالی دلار کاهش یافت سکه امامی هم به دنبال دلار به پله آخر کانال ۱۴ میلیونی برگشت.
 ",2022-10-19 07:51:42,اخبار طلا و سکه,اقتصاد نیوز
54,لحظه سرقت سه دقیقه ای نیم میلیون دلار جواهر! + فیلم,"
",2022-10-19 01:01:44,اخبار طلا و سکه,اقتصاد آنلاین
55,سرقت نیم میلیون دلار جواهر در کمتر از سه دقیقه! + ویدیو,"
سه سارق نقابدار با استفاده از یک پتک، جواهراتی به ارزش بیش از نیم میلیون دلار را ظرف سه دقیقه از یک مغازه جواهرفروشی به سرقت بردند.
",2022-10-18 21:31:58,اخبار طلا و سکه,سایت طلا
56,گزارش بازار‌ها امروز ۲۶ مهر ۱۴۰۱ | قیمت سکه و طلا کاهشی شد!,"
به صورت روزانه نبض بورس وضعیت بازار‌های موازی بورس (بیت کوین، سکه، طلا و دلار) را بررسی خواهد کرد و ضمن مرور روند هفتگی این بازار‌ها به بررسی گزارش وضعیت قیمت و اخبار مهم بازار در همان روز خواهد پرداخت. بازار‌ها در روز جاری ۲۶ مهر ۱۴۰۱ چگونه بود؟
",2022-10-18 20:31:50,اخبار طلا و سکه,نبض بورس
57,نرخ انواع سکه و طلا در بازار +جدول,"
قیمت طلا و سکه امروز در بازار تهران در مسیر کاهشی حرکت کرد.
",2022-10-18 20:16:44,اخبار طلا و سکه,مشرق
58,قیمت طلا امروز بیست و شش مهر ماه در بازار (مثقال ۱۸ عیار، طلا گرم ۱۸ عیار),"
قیمت طلا برای امروز ۲۶ مهر ۱۴۰۱ اعلام شد، قیمت طلای ۱۸ عیار به ۱ میلیون و ۳۴۱ هزار ۶۹۹ تومان رسید.
",2022-10-18 18:11:40,اخبار طلا و سکه,اقتصاد آنلاین
59,قیمت طلای جهانی ثابت شد؟,"
قیمت طلا امروز(سه‌شنبه ۱۸ اکتبر) با توقف رشد دلار ثابت بود، اگر چه خطرات ناشی از افزایش بهره تهاجمی توسط فدرال رزرو ایالات‌متحده، رشد شمش‌های با بازده صفر را محدود کرد.
",2022-10-18 16:16:34,اخبار طلا و سکه,اقتصاد 24
60,۱۰ انیمیشن برتر دیزنی که کاراکترهای اصلی‌شان حیوانات هستند,"
",2022-10-18 15:46:54,اخبار طلا و سکه,دیجی کالا مگ
61,سکه 14 میلیون و 950 هزار تومان، آغاز معاملات توافقی ارز در کانال ۳۱ هزار تومان,"
حباب سکه 2.520 میلیون تومان شد. ارز خدماتی شرکت‌های دانش بنیان ۴۸ ساعته تأمین می‌شود. ثبات قیمت دلار و یورو صرافی‌های بانکی طی ۳ روز گذشته/ روز سه شنبه 26مهر 401 قیمت دلار در بازار تهران 32650 تومان رسید و با اعلام اونس جهانی طلا به قیمت 1657 دلار، قیمت سکه به 14 میلیون و 950 هزار تومان رسیده و فعالان بازار معتقدند که حباب سکه به 2.520 میلیون تومان رسیده است
",2022-10-18 15:16:29,اخبار طلا و سکه,اقتصادگردان
62,۶ نکته‌‌ی مهم که قبل از خرید سرویس قاشق و چنگال باید بدانید,"
",2022-10-18 14:46:54,اخبار طلا و سکه,دیجی کالا مگ
63,آیا نقره پتانسیل صعود بیشتر را دارد؟,"
نقره امروز برای دومین روز صعودی متوالی از پائین‌ترین سطح دو هفته‌ای افزایش یافت؛ حال باید دیدگاه تحلیلگران را در مورد پتانسیل صعود بیشتر نقره بررسی کرد.
",2022-10-18 14:41:25,اخبار طلا و سکه,اخبار ویژه
64,سکه عقب نشست ؛ قیمت ها کاهشی شد | جدول تغییرات قیمت طلا و سکه امروز ۲۶ مهر ۱۴۰۱,"
قیمت هر قطعه سکه تمام‌ بهار آزادی طرح جدید (امامی) به ۱۴میلیون و ۹۴۸ هزار تومان رسید.
",2022-10-18 14:32:02,اخبار طلا و سکه,همشهری آنلاین
65,آخرین وضعیت بازار سکه و طلا؛ آیا زمان سرمایه‌گذاری فرا رسیده است؟,"
محمدولی با اشاره به اینکه طلا و سکه تا پایان سال با افزایش مواجه می‌شوند، گفت: این ثبات نسبی قیمت نیز از آن جا نشات می‌گیرد که خرید و فروشی در بازار انجام نمی‌شود و نه اینکه در اقتصاد کشور اتفاقی رخ داده که باعث ثبات قیمت‌ها شده است، بنابراین به مرور باید منتظر این باشیم که تا شب عید قیمت‌ها با شیب ملایم با رشد قیمت روبرو باشد.
",2022-10-18 14:26:38,اخبار طلا و سکه,فرارو
66,قیمت دلار در تهران کاهشی شد، در هرات رنج /کاهش قیمت طلا,"
اقتصادنیوز :نرخ دلار در بازار آزاد امروز تا 32 هزار و 650 تومان عقب نشینی کرد.این قیمت در مقایسه با دیروز 150 تومان پایین تر بود. روز گذشته هم نرخ دلار تقریبا 150 تومان کاهش را تجربه کرده بود .
",2022-10-18 14:26:34,اخبار طلا و سکه,اقتصاد نیوز
67,مس با فرکانس عکس ,"
پیرو کاهش دلار آمریکا، طلا امروز اندکی افزایش یافت و در سطح حمایتی قرار گرفت. در چشم‌انداز فلزات صنعتی، مس در پی کاهش تقاضا روند نزولی را در پیش گرفت.
",2022-10-18 13:44:23,اخبار طلا و سکه,اخبار ویژه
68,قیمت سکه و طلا امروز سه شنبه ۱۴۰۱/۷/۲۶,"
امروز در بازار آزاد تا این لحظه قیمت طلای ۱۸عیار هر گرم یک‌میلیون و ۳۳۶ هزار تومان و قیمت سکه تمام‌بهار آزادی طرح جدید ۱۴میلیون و ۹۵۰ هزار تومان است.
",2022-10-18 13:02:16,اخبار طلا و سکه,خبرگزاری دانشجو
69,قیمت جهانی طلا امروز ۲۶ مهر ۱۴۰۱ / اونس همچنان روند نوسانی دارد,"
قیمت هر اونس طلا امروز سه شنبه ۲۶ مهر به ۱۶۵۹ دلار و ۹ سنت رسید.
",2022-10-18 13:02:11,اخبار طلا و سکه,نبض بازار
70,جدیدترین قیمت هر مثقال طلا امروز ۲۶ مهر ۱۴۰۱,"
آخرین قیمت انواع طلا در بازار امروز ۲۶ مهر ۱۴۰۱ را می‌توانید در گزارش زیر مشاهده کنید.
",2022-10-18 12:32:05,اخبار طلا و سکه,نبض بازار
71,قیمت پوند امروز ۲۶ مهر ماه ۱۴۰۱ / افزایش نرخ در بازار آزاد,"
نرخ و قیمت پوند انگلیس در صرافی های رسمی برای تاریخ ۲۶ مهر ماه ۱۴۰۱ اعلام شد. قیمت خرید پوند انگلیس در صرافی رسمی ۳۵۱۰۸ تومان است.
",2022-10-18 12:11:40,اخبار طلا و سکه,اقتصاد آنلاین
72,قیمت درهم در صرافی رسمی امروز ۲۶ مهر ماه ۱۴۰۱,"
کانون صرافان امروز ۲۶ مهر ماه قیمت درهم را ۸ هزار و ۲۴۶ تومان برای خرید و ۸ هزار و ۳۶۷ تومان اعلام کرده است.
",2022-10-18 12:11:38,اخبار طلا و سکه,اقتصاد آنلاین
73,قیمت دلار امروز ۲۶ مهر ماه ۱۴۰۱ / دلار صرافی ملی همچنان بدون تغییر,"
قیمت دلار برای تاریخ ۲۶ مهر ماه ۱۴۰۱ اعلام شد. قیمت خرید دلار در صرافی ملی ۲۸۶۳۶ تومان است.
",2022-10-18 12:11:36,اخبار طلا و سکه,اقتصاد آنلاین
74,نرخ ارز، دلار، سکه، طلا و یورو ۲۶ مهر ۱۴۰۱,"
دلار از ابتدای هفته در صرافی ملی ۲۸ هزار و ۹۲۵ تومان عرضه شده است. امروز سه‌شنبه ۲۶ مهر قیمت هر گرم طلا ۱۸ عیار با افت هفت هزار تومانی به یک میلیون و ۳۴۱ هزار تقلیل پیدا کرد
",2022-10-18 11:52:07,اخبار طلا و سکه,فرارو
75,قیمت سکه امامی امروز 26 مهر 1401/ قیمت سکه چقدر شد؟,"
اقتصادنیوز:قیمت سکه در بازار امروز ثبات را تجربه کرد.
",2022-10-18 11:46:32,اخبار طلا و سکه,اقتصاد نیوز
76,نرخ امروز ۲۶ مهر ۱۴۰۱ فلزات گرانبها در بازار‌های جهانی,"
قیمت هر انس طلا با افزایش ۰.۶۲ درصدی، برابر ۱،۶۵۹.۳۸ دلار در معاملات بازار فلزات گرانبها به ثبت رسید.
",2022-10-18 10:32:05,اخبار طلا و سکه,نبض بازار
77,چه عواملی مانع قیمت جهانی طلا می‌شود؟,"
قیمت طلا هنوز هم نزدیک به پایین‌ترین سطح در ماه جاری قرار دارد و سیاست‌های پولی سختگیرانه فدرال رزرو آمریکا جهت مهار تورم همچنان مانع افزایش آن می‌شود.
",2022-10-18 10:16:43,اخبار طلا و سکه,نبض بازار
78,طلای سیاه، سرسبز از صعود,"
به دنبال بروز مشکلات عرضه و همچنین کاهش ارزش دلار، قیمت نفت افزایش یافت. در همین راستا، معاملات نفت برنت و نفت خام وست تگزاس نیز به صعود رسید.
",2022-10-18 10:08:11,اخبار طلا و سکه,اخبار ویژه
79,فشار قیمت دلار بر طلا/ کاهش جذابيت طلا براي سرمايه گذاري,"
سیاست افزایش نرخ بهره بانک مرکزی آمریکا در سال جاری میلادی باعث شده سرمایه‌گذاران به دلار آمریکا به‌عنوان یک پشتوانه ایمن روی آورند و باعث سقوط قیمت طلا شوند.
",2022-10-18 10:02:36,اخبار طلا و سکه,سایت طلا
80,طلا دست در دست ریسک‌پذیری,"
با تداوم سیاست‌های کووید صفر در چین و با وجود احساسات ریسک و در نتیجه کاهش نسبی دلار آمریکا، طلا توانست روند صعودی قبلی خود را حفظ کند.
",2022-10-18 09:37:44,اخبار طلا و سکه,اخبار ویژه
81,طلای جهانی با تزلزل دلار ثابت شد,"
قیمت طلا امروز(سه‌شنبه ۱۸ اکتبر) با توقف رشد دلار ثابت بود، اگر چه خطرات ناشی از افزایش بهره تهاجمی توسط فدرال رزرو ایالات‌متحده، رشد شمش‌های با بازده صفر را محدود کرد.
",2022-10-18 09:31:32,اخبار طلا و سکه,اخبار بانک
82,سیگنال جدید به بازار سکه در ایران /پیش بینی قیمت سکه امروز,"
نرخ دلار دیروز تا مرز مقاومتی ۳۲ هزار و ۸۰۰ تومان عقب نشینی کرد. با این حال سکه بازان در برابر کاهش قیمت سکه مقاومت کردند و بازار با حمایت آنها روبرو شد.
",2022-10-18 09:16:39,اخبار طلا و سکه,اقتصاد نیوز
